Application: phage_g
Running Feedback Loop for all time-points in (0, 100].
holdsAt(val(cII,0),23).
holdsAt(val(n,0),23).
happens(occurs(f(cI),2),23).
happens(occurs(f(cro),0),23).
happens(occurs(f(cII),0),23).
happens(occurs(f(cII),0),23).
happens(occurs(f(n),0),23).
holdsAt(val(cI,2),24).
holdsAt(val(cro,0),24).
holdsAt(val(cII,0),24).
holdsAt(val(n,0),24).
happens(occurs(f(cI),2),24).
happens(occurs(f(cro),0),24).
happens(occurs(f(cII),0),24).
happens(occurs(f(cII),0),24).
happens(occurs(f(n),0),24).
holdsAt(val(cI,2),25).
holdsAt(val(cro,0),25).
holdsAt(val(cII,0),25).
holdsAt(val(n,0),25).
happens(occurs(f(cI),2),25).
happens(occurs(f(cro),0),25).
happens(occurs(f(cII),0),25).
happens(occurs(f(cII),0),25).
happens(occurs(f(n),0),25).
holdsAt(val(cI,2),26).
holdsAt(val(cro,0),26).
holdsAt(val(cII,0),26).
holdsAt(val(n,0),26).
happens(occurs(f(cI),2),26).
happens(occurs(f(cro),0),26).
happens(occurs(f(cII),0),26).
happens(occurs(f(cII),0),26).
happens(occurs(f(n),0),26).
holdsAt(val(cI,2),27).
holdsAt(val(cro,0),27).
holdsAt(val(cII,0),27).
holdsAt(val(n,0),27).
happens(occurs(f(cI),2),27).
happens(occurs(f(cro),0),27).
happens(occurs(f(cII),0),27).
happens(occurs(f(cII),0),27).
happens(occurs(f(n),0),27).
holdsAt(val(cI,2),28).
holdsAt(val(cro,0),28).
holdsAt(val(cII,0),28).
holdsAt(val(n,0),28).
happens(occurs(f(cI),2),28).
happens(occurs(f(cro),0),28).
happens(occurs(f(cII),0),28).
happens(occurs(f(cII),0),28).
happens(occurs(f(n),0),28).
holdsAt(val(cI,2),29).
holdsAt(val(cro,0),29).
holdsAt(val(cII,0),29).
holdsAt(val(n,0),29).
happens(occurs(f(cI),2),29).
happens(occurs(f(cro),0),29).
happens(occurs(f(cII),0),29).
happens(occurs(f(cII),0),29).
happens(occurs(f(n),0),29).
holdsAt(val(cI,2),30).
holdsAt(val(cro,0),30).
holdsAt(val(cII,0),30).
holdsAt(val(n,0),30).
happens(occurs(f(cI),2),30).
happens(occurs(f(cro),0),30).
happens(occurs(f(cII),0),30).
happens(occurs(f(cII),0),30).
happens(occurs(f(n),0),30).
holdsAt(val(cI,2),31).
holdsAt(val(cro,0),31).
holdsAt(val(cII,0),31).
holdsAt(val(n,0),31).
happens(occurs(f(cI),2),31).
happens(occurs(f(cro),0),31).
happens(occurs(f(cII),0),31).
happens(occurs(f(cII),0),31).
happens(occurs(f(n),0),31).
holdsAt(val(cI,2),32).
holdsAt(val(cro,0),32).
holdsAt(val(cII,0),32).
holdsAt(val(n,0),32).
happens(occurs(f(cI),2),32).
happens(occurs(f(cro),0),32).
happens(occurs(f(cII),0),32).
happens(occurs(f(cII),0),32).
happens(occurs(f(n),0),32).
holdsAt(val(cI,2),33).
holdsAt(val(cro,0),33).
holdsAt(val(cII,0),33).
holdsAt(val(n,0),33).
happens(occurs(f(cI),2),33).
happens(occurs(f(cro),0),33).
happens(occurs(f(cII),0),33).
happens(occurs(f(cII),0),33).
happens(occurs(f(n),0),33).
holdsAt(val(cI,2),34).
holdsAt(val(cro,0),34).
holdsAt(val(cII,0),34).
holdsAt(val(n,0),34).
happens(occurs(f(cI),2),34).
happens(occurs(f(cro),0),34).
happens(occurs(f(cII),0),34).
happens(occurs(f(cII),0),34).
happens(occurs(f(n),0),34).
holdsAt(val(cI,2),35).
holdsAt(val(cro,0),35).
holdsAt(val(cII,0),35).
holdsAt(val(n,0),35).
happens(occurs(f(cI),2),35).
happens(occurs(f(cro),0),35).
happens(occurs(f(cII),0),35).
happens(occurs(f(cII),0),35).
happens(occurs(f(n),0),35).
holdsAt(val(cI,2),36).
holdsAt(val(cro,0),36).
holdsAt(val(cII,0),36).
holdsAt(val(n,0),36).
happens(occurs(f(cI),2),36).
happens(occurs(f(cro),0),36).
happens(occurs(f(cII),0),36).
happens(occurs(f(cII),0),36).
happens(occurs(f(n),0),36).
holdsAt(val(cI,2),37).
holdsAt(val(cro,0),37).
holdsAt(val(cII,0),37).
holdsAt(val(n,0),37).
happens(occurs(f(cI),2),37).
happens(occurs(f(cro),0),37).
happens(occurs(f(cII),0),37).
happens(occurs(f(cII),0),37).
happens(occurs(f(n),0),37).
holdsAt(val(cI,2),38).
holdsAt(val(cro,0),38).
holdsAt(val(cII,0),38).
holdsAt(val(n,0),38).
happens(occurs(f(cI),2),38).
happens(occurs(f(cro),0),38).
happens(occurs(f(cII),0),38).
happens(occurs(f(cII),0),38).
happens(occurs(f(n),0),38).
holdsAt(val(cI,2),39).
holdsAt(val(cro,0),39).
holdsAt(val(cII,0),39).
holdsAt(val(n,0),39).
happens(occurs(f(cI),2),39).
happens(occurs(f(cro),0),39).
happens(occurs(f(cII),0),39).
happens(occurs(f(cII),0),39).
happens(occurs(f(n),0),39).
holdsAt(val(cI,2),40).
holdsAt(val(cro,0),40).
holdsAt(val(cII,0),40).
holdsAt(val(n,0),40).
happens(occurs(f(cI),2),40).
happens(occurs(f(cro),0),40).
happens(occurs(f(cII),0),40).
happens(occurs(f(cII),0),40).
happens(occurs(f(n),0),40).
holdsAt(val(cI,2),41).
holdsAt(val(cro,0),41).
holdsAt(val(cII,0),41).
holdsAt(val(n,0),41).
happens(occurs(f(cI),2),41).
happens(occurs(f(cro),0),41).
happens(occurs(f(cII),0),41).
happens(occurs(f(cII),0),41).
happens(occurs(f(n),0),41).
holdsAt(val(cI,2),42).
holdsAt(val(cro,0),42).
holdsAt(val(cII,0),42).
holdsAt(val(n,0),42).
happens(occurs(f(cI),2),42).
happens(occurs(f(cro),0),42).
happens(occurs(f(cII),0),42).
happens(occurs(f(cII),0),42).
happens(occurs(f(n),0),42).
holdsAt(val(cI,2),43).
holdsAt(val(cro,0),43).
holdsAt(val(cII,0),43).
holdsAt(val(n,0),43).
happens(occurs(f(cI),2),43).
happens(occurs(f(cro),0),43).
happens(occurs(f(cII),0),43).
happens(occurs(f(cII),0),43).
happens(occurs(f(n),0),43).
holdsAt(val(cI,2),44).
holdsAt(val(cro,0),44).
holdsAt(val(cII,0),44).
holdsAt(val(n,0),44).
happens(occurs(f(cI),2),44).
happens(occurs(f(cro),0),44).
happens(occurs(f(cII),0),44).
happens(occurs(f(cII),0),44).
happens(occurs(f(n),0),44).
holdsAt(val(cI,2),45).
holdsAt(val(cro,0),45).
holdsAt(val(cII,0),45).
holdsAt(val(n,0),45).
happens(occurs(f(cI),2),45).
happens(occurs(f(cro),0),45).
happens(occurs(f(cII),0),45).
happens(occurs(f(cII),0),45).
happens(occurs(f(n),0),45).
holdsAt(val(cI,2),46).
holdsAt(val(cro,0),46).
holdsAt(val(cII,0),46).
holdsAt(val(n,0),46).
happens(occurs(f(cI),2),46).
happens(occurs(f(cro),0),46).
happens(occurs(f(cII),0),46).
happens(occurs(f(cII),0),46).
happens(occurs(f(n),0),46).
holdsAt(val(cI,2),47).
holdsAt(val(cro,0),47).
holdsAt(val(cII,0),47).
holdsAt(val(n,0),47).
happens(occurs(f(cI),2),47).
happens(occurs(f(cro),0),47).
happens(occurs(f(cII),0),47).
happens(occurs(f(cII),0),47).
happens(occurs(f(n),0),47).
holdsAt(val(cI,2),48).
holdsAt(val(cro,0),48).
holdsAt(val(cII,0),48).
holdsAt(val(n,0),48).
happens(occurs(f(cI),2),48).
happens(occurs(f(cro),0),48).
happens(occurs(f(cII),0),48).
happens(occurs(f(cII),0),48).
happens(occurs(f(n),0),48).
holdsAt(val(cI,2),49).
holdsAt(val(cro,0),49).
holdsAt(val(cII,0),49).
holdsAt(val(n,0),49).
happens(occurs(f(cI),2),49).
happens(occurs(f(cro),0),49).
happens(occurs(f(cII),0),49).
happens(occurs(f(cII),0),49).
happens(occurs(f(n),0),49).
holdsAt(val(cI,2),50).
holdsAt(val(cro,0),50).
holdsAt(val(cII,0),50).
holdsAt(val(n,0),50).
happens(occurs(f(cI),2),50).
happens(occurs(f(cro),0),50).
happens(occurs(f(cII),0),50).
happens(occurs(f(cII),0),50).
happens(occurs(f(n),0),50).
holdsAt(val(cI,2),51).
holdsAt(val(cro,0),51).
holdsAt(val(cII,0),51).
holdsAt(val(n,0),51).
happens(occurs(f(cI),2),51).
happens(occurs(f(cro),0),51).
happens(occurs(f(cII),0),51).
happens(occurs(f(cII),0),51).
happens(occurs(f(n),0),51).
holdsAt(val(cI,2),52).
holdsAt(val(cro,0),52).
holdsAt(val(cII,0),52).
holdsAt(val(n,0),52).
happens(occurs(f(cI),2),52).
happens(occurs(f(cro),0),52).
happens(occurs(f(cII),0),52).
happens(occurs(f(cII),0),52).
happens(occurs(f(n),0),52).
holdsAt(val(cI,2),53).
holdsAt(val(cro,0),53).
holdsAt(val(cII,0),53).
holdsAt(val(n,0),53).
happens(occurs(f(cI),2),53).
happens(occurs(f(cro),0),53).
happens(occurs(f(cII),0),53).
happens(occurs(f(cII),0),53).
happens(occurs(f(n),0),53).
holdsAt(val(cI,2),54).
holdsAt(val(cro,0),54).
holdsAt(val(cII,0),54).
holdsAt(val(n,0),54).
happens(occurs(f(cI),2),54).
happens(occurs(f(cro),0),54).
happens(occurs(f(cII),0),54).
happens(occurs(f(cII),0),54).
happens(occurs(f(n),0),54).
holdsAt(val(cI,2),55).
holdsAt(val(cro,0),55).
holdsAt(val(cII,0),55).
holdsAt(val(n,0),55).
happens(occurs(f(cI),2),55).
happens(occurs(f(cro),0),55).
happens(occurs(f(cII),0),55).
happens(occurs(f(cII),0),55).
happens(occurs(f(n),0),55).
holdsAt(val(cI,2),56).
holdsAt(val(cro,0),56).
holdsAt(val(cII,0),56).
holdsAt(val(n,0),56).
happens(occurs(f(cI),2),56).
happens(occurs(f(cro),0),56).
happens(occurs(f(cII),0),56).
happens(occurs(f(cII),0),56).
happens(occurs(f(n),0),56).
holdsAt(val(cI,2),57).
holdsAt(val(cro,0),57).
holdsAt(val(cII,0),57).
holdsAt(val(n,0),57).
happens(occurs(f(cI),2),57).
happens(occurs(f(cro),0),57).
happens(occurs(f(cII),0),57).
happens(occurs(f(cII),0),57).
happens(occurs(f(n),0),57).
holdsAt(val(cI,2),58).
holdsAt(val(cro,0),58).
holdsAt(val(cII,0),58).
holdsAt(val(n,0),58).
happens(occurs(f(cI),2),58).
happens(occurs(f(cro),0),58).
happens(occurs(f(cII),0),58).
happens(occurs(f(cII),0),58).
happens(occurs(f(n),0),58).
holdsAt(val(cI,2),59).
holdsAt(val(cro,0),59).
holdsAt(val(cII,0),59).
holdsAt(val(n,0),59).
happens(occurs(f(cI),2),59).
happens(occurs(f(cro),0),59).
happens(occurs(f(cII),0),59).
happens(occurs(f(cII),0),59).
happens(occurs(f(n),0),59).
holdsAt(val(cI,2),60).
holdsAt(val(cro,0),60).
holdsAt(val(cII,0),60).
holdsAt(val(n,0),60).
happens(occurs(f(cI),2),60).
happens(occurs(f(cro),0),60).
happens(occurs(f(cII),0),60).
happens(occurs(f(cII),0),60).
happens(occurs(f(n),0),60).
holdsAt(val(cI,2),61).
holdsAt(val(cro,0),61).
holdsAt(val(cII,0),61).
holdsAt(val(n,0),61).
happens(occurs(f(cI),2),61).
happens(occurs(f(cro),0),61).
happens(occurs(f(cII),0),61).
happens(occurs(f(cII),0),61).
happens(occurs(f(n),0),61).
holdsAt(val(cI,2),62).
holdsAt(val(cro,0),62).
holdsAt(val(cII,0),62).
holdsAt(val(n,0),62).
happens(occurs(f(cI),2),62).
happens(occurs(f(cro),0),62).
happens(occurs(f(cII),0),62).
happens(occurs(f(cII),0),62).
happens(occurs(f(n),0),62).
holdsAt(val(cI,2),63).
holdsAt(val(cro,0),63).
holdsAt(val(cII,0),63).
holdsAt(val(n,0),63).
happens(occurs(f(cI),2),63).
happens(occurs(f(cro),0),63).
happens(occurs(f(cII),0),63).
happens(occurs(f(cII),0),63).
happens(occurs(f(n),0),63).
holdsAt(val(cI,2),64).
holdsAt(val(cro,0),64).
holdsAt(val(cII,0),64).
holdsAt(val(n,0),64).
happens(occurs(f(cI),2),64).
happens(occurs(f(cro),0),64).
happens(occurs(f(cII),0),64).
happens(occurs(f(cII),0),64).
happens(occurs(f(n),0),64).
holdsAt(val(cI,2),65).
holdsAt(val(cro,0),65).
holdsAt(val(cII,0),65).
holdsAt(val(n,0),65).
happens(occurs(f(cI),2),65).
happens(occurs(f(cro),0),65).
happens(occurs(f(cII),0),65).
happens(occurs(f(cII),0),65).
happens(occurs(f(n),0),65).
holdsAt(val(cI,2),66).
holdsAt(val(cro,0),66).
holdsAt(val(cII,0),66).
holdsAt(val(n,0),66).
happens(occurs(f(cI),2),66).
happens(occurs(f(cro),0),66).
happens(occurs(f(cII),0),66).
happens(occurs(f(cII),0),66).
happens(occurs(f(n),0),66).
holdsAt(val(cI,2),67).
holdsAt(val(cro,0),67).
holdsAt(val(cII,0),67).
holdsAt(val(n,0),67).
happens(occurs(f(cI),2),67).
happens(occurs(f(cro),0),67).
happens(occurs(f(cII),0),67).
happens(occurs(f(cII),0),67).
happens(occurs(f(n),0),67).
holdsAt(val(cI,2),68).
holdsAt(val(cro,0),68).
holdsAt(val(cII,0),68).
holdsAt(val(n,0),68).
happens(occurs(f(cI),2),68).
happens(occurs(f(cro),0),68).
happens(occurs(f(cII),0),68).
happens(occurs(f(cII),0),68).
happens(occurs(f(n),0),68).
holdsAt(val(cI,2),69).
holdsAt(val(cro,0),69).
holdsAt(val(cII,0),69).
holdsAt(val(n,0),69).
happens(occurs(f(cI),2),69).
happens(occurs(f(cro),0),69).
happens(occurs(f(cII),0),69).
happens(occurs(f(cII),0),69).
happens(occurs(f(n),0),69).
holdsAt(val(cI,2),70).
holdsAt(val(cro,0),70).
holdsAt(val(cII,0),70).
holdsAt(val(n,0),70).
happens(occurs(f(cI),2),70).
happens(occurs(f(cro),0),70).
happens(occurs(f(cII),0),70).
happens(occurs(f(cII),0),70).
happens(occurs(f(n),0),70).
holdsAt(val(cI,2),71).
holdsAt(val(cro,0),71).
holdsAt(val(cII,0),71).
holdsAt(val(n,0),71).
happens(occurs(f(cI),2),71).
happens(occurs(f(cro),0),71).
happens(occurs(f(cII),0),71).
happens(occurs(f(cII),0),71).
happens(occurs(f(n),0),71).
holdsAt(val(cI,2),72).
holdsAt(val(cro,0),72).
holdsAt(val(cII,0),72).
holdsAt(val(n,0),72).
happens(occurs(f(cI),2),72).
happens(occurs(f(cro),0),72).
happens(occurs(f(cII),0),72).
happens(occurs(f(cII),0),72).
happens(occurs(f(n),0),72).
holdsAt(val(cI,2),73).
holdsAt(val(cro,0),73).
holdsAt(val(cII,0),73).
holdsAt(val(n,0),73).
happens(occurs(f(cI),2),73).
happens(occurs(f(cro),0),73).
happens(occurs(f(cII),0),73).
happens(occurs(f(cII),0),73).
happens(occurs(f(n),0),73).
holdsAt(val(cI,2),74).
holdsAt(val(cro,0),74).
holdsAt(val(cII,0),74).
holdsAt(val(n,0),74).
happens(occurs(f(cI),2),74).
happens(occurs(f(cro),0),74).
happens(occurs(f(cII),0),74).
happens(occurs(f(cII),0),74).
happens(occurs(f(n),0),74).
holdsAt(val(cI,2),75).
holdsAt(val(cro,0),75).
holdsAt(val(cII,0),75).
holdsAt(val(n,0),75).
happens(occurs(f(cI),2),75).
happens(occurs(f(cro),0),75).
happens(occurs(f(cII),0),75).
happens(occurs(f(cII),0),75).
happens(occurs(f(n),0),75).
holdsAt(val(cI,2),76).
holdsAt(val(cro,0),76).
holdsAt(val(cII,0),76).
holdsAt(val(n,0),76).
happens(occurs(f(cI),2),76).
happens(occurs(f(cro),0),76).
happens(occurs(f(cII),0),76).
happens(occurs(f(cII),0),76).
happens(occurs(f(n),0),76).
holdsAt(val(cI,2),77).
holdsAt(val(cro,0),77).
holdsAt(val(cII,0),77).
holdsAt(val(n,0),77).
happens(occurs(f(cI),2),77).
happens(occurs(f(cro),0),77).
happens(occurs(f(cII),0),77).
happens(occurs(f(cII),0),77).
happens(occurs(f(n),0),77).
holdsAt(val(cI,2),78).
holdsAt(val(cro,0),78).
holdsAt(val(cII,0),78).
holdsAt(val(n,0),78).
happens(occurs(f(cI),2),78).
happens(occurs(f(cro),0),78).
happens(occurs(f(cII),0),78).
happens(occurs(f(cII),0),78).
happens(occurs(f(n),0),78).
holdsAt(val(cI,2),79).
holdsAt(val(cro,0),79).
holdsAt(val(cII,0),79).
holdsAt(val(n,0),79).
happens(occurs(f(cI),2),79).
happens(occurs(f(cro),0),79).
happens(occurs(f(cII),0),79).
happens(occurs(f(cII),0),79).
happens(occurs(f(n),0),79).
holdsAt(val(cI,2),80).
holdsAt(val(cro,0),80).
holdsAt(val(cII,0),80).
holdsAt(val(n,0),80).
happens(occurs(f(cI),2),80).
happens(occurs(f(cro),0),80).
happens(occurs(f(cII),0),80).
happens(occurs(f(cII),0),80).
happens(occurs(f(n),0),80).
holdsAt(val(cI,2),81).
holdsAt(val(cro,0),81).
holdsAt(val(cII,0),81).
holdsAt(val(n,0),81).
happens(occurs(f(cI),2),81).
happens(occurs(f(cro),0),81).
happens(occurs(f(cII),0),81).
happens(occurs(f(cII),0),81).
happens(occurs(f(n),0),81).
holdsAt(val(cI,2),82).
holdsAt(val(cro,0),82).
holdsAt(val(cII,0),82).
holdsAt(val(n,0),82).
happens(occurs(f(cI),2),82).
happens(occurs(f(cro),0),82).
happens(occurs(f(cII),0),82).
happens(occurs(f(cII),0),82).
happens(occurs(f(n),0),82).
holdsAt(val(cI,2),83).
holdsAt(val(cro,0),83).
holdsAt(val(cII,0),83).
holdsAt(val(n,0),83).
happens(occurs(f(cI),2),83).
happens(occurs(f(cro),0),83).
happens(occurs(f(cII),0),83).
happens(occurs(f(cII),0),83).
happens(occurs(f(n),0),83).
holdsAt(val(cI,2),84).
holdsAt(val(cro,0),84).
holdsAt(val(cII,0),84).
holdsAt(val(n,0),84).
happens(occurs(f(cI),2),84).
happens(occurs(f(cro),0),84).
happens(occurs(f(cII),0),84).
happens(occurs(f(cII),0),84).
happens(occurs(f(n),0),84).
holdsAt(val(cI,2),85).
holdsAt(val(cro,0),85).
holdsAt(val(cII,0),85).
holdsAt(val(n,0),85).
happens(occurs(f(cI),2),85).
happens(occurs(f(cro),0),85).
happens(occurs(f(cII),0),85).
happens(occurs(f(cII),0),85).
happens(occurs(f(n),0),85).
holdsAt(val(cI,2),86).
holdsAt(val(cro,0),86).
holdsAt(val(cII,0),86).
holdsAt(val(n,0),86).
happens(occurs(f(cI),2),86).
happens(occurs(f(cro)
